x,y,Time,bearing
-0.00146085377347947,-0.0006064122173612861,0.0,-157.45626703743042
-0.0030859959358637236,-0.0011209222906052095,0.04,-160.03752573486506
-0.004751234400507676,-0.0015914328817234452,0.08,-161.4816512658009
-0.0049116196095464705,-0.001415434953220696,0.12,-163.9240290399886
-0.005035811696191557,-0.0013675322912290208,0.16,-164.80707238068865
-0.00520010008509634,-0.0012756301471116575,0.2,-166.21701116122534
-0.005412291135992799,-0.0013079200896393803,0.24,-166.41451158020791
-0.005540386402503872,-0.0013441132120330902,0.28,-166.3633432263066
-0.005672384848880933,-0.001464402118812187,0.32,-165.52439453256235
-0.005800480115392007,-0.0015005952412058975,0.36,-165.4954718800402
-0.005964768504296791,-0.0014086930970885344,0.4,-166.71199478198264
-0.006085057411075887,-0.0012766946507114729,0.44,-168.15074908538116
-0.006245442620114683,-0.0011006967222087238,0.48,-170.0048341823475
-0.006369634706759767,-0.001052794060217049,0.52,-170.61481554002052
-0.006409731009019468,-0.001008794578091362,0.56,-171.0558791508927
-0.006453730491145154,-0.0010488908803510605,0.6,-170.76873264327753
-0.0064938267934048525,-0.0010048913982253732,0.64,-171.20349926681328
-0.006621922059915926,-0.0010410845206190844,0.68,-171.0652152726144
-0.006746114146561011,-0.0009931818586274078,0.72,-171.62491744200778
-0.0068302099309463975,-0.0009892786787614194,0.76,-171.75866487715263
-0.006914305715331783,-0.0009853754988954316,0.8,-171.88924612179764
-0.006998401499717168,-0.0009814723190294421,0.84,-172.0167709804949
-0.007122593586362253,-0.0009335696570377666,0.88,-172.53271902750765
-0.00724288249314135,-0.0008015712106607042,0.92,-173.68476406800912
-0.0073670745797864345,-0.0007536685486690292,0.96,-174.15883180341183
-0.00749126666643152,-0.0007057658866773536,1.0,-174.61794613206885
-0.007531362968691218,-0.000661766404551667,1.04,-174.9784268755368
-0.007567556091084928,-0.0005336711380405951,1.08,-175.96612625035323
-0.00756365291121894,-0.0004495753536552072,1.12,-176.59840295892715
-0.007643845515738338,-0.00036157638940383265,1.16,-177.29175975626566
-0.00759984603361265,-0.0003214800871441348,1.2,-177.5777828228909
-0.007467847587235589,-0.00020119118036503848,1.24,-178.4567684782701
-0.007039562305576683,-5.251551092420814e-05,1.28,-179.57257835240787
-0.0065672775417920885,0.00013625646077632114,1.32,178.81141003148034
-0.006094992778007496,0.0003250284324768493,1.36,176.94747227458706
-0.005418323323058419,0.0003778987779343296,1.4000000000000001,176.01038946322487
-0.004913748616746101,0.00035447969873839857,1.44,175.8738086027087
-0.0043690776081740865,0.0002870611374167814,1.48,176.24090320188813
-0.004040500830364518,0.00010325684918205597,1.52,178.53609874107653
-0.0033755409150134077,-9.61601585166233e-05,1.56,-178.36823735408646
-0.0028826757482990554,-0.00037186659086871175,1.6,-172.64941088146415
-0.002590292092883199,-0.00042757561259236385,1.6400000000000001,-170.62679458636762
-0.00226561849493962,-0.0006954756852124756,1.68,-162.93511291845846
-0.0017365602058315585,-0.0010992773840756372,1.72,-147.66537048434682
-0.0012915977011088826,-0.0014991759030728103,1.76,-130.74616356388083
-0.001131212492070087,-0.0016751738315755591,1.8,-124.03039582301395
-0.0008906346785118941,-0.0019391707243296824,1.84,-114.66867388082487
-0.0005737674403002921,-0.0023752623657205666,1.8800000000000001,-103.58019540277476
-0.0002569002020886896,-0.0028113540071114497,1.92,-95.2211608943705
-5.641869079019535e-05,-0.003031351417739886,1.96,-91.0662504117109
0.0001880623026339856,-0.003211252526108623,2.0,-86.64838472541096
0.0003924469937984687,-0.0033471541523516736,2.04,-83.3127187808058
0.000512735900577565,-0.0034791525987287347,2.08,-81.61645050258174
0.0005088327207115761,-0.003563248383114121,2.12,-81.8730928153429
0.0007054110521440823,-0.003867341578127943,2.16,-79.66277389098899
0.0009420856858362867,-0.004215434255267453,2.2,-77.40227197984773
0.0012188566217881907,-0.004607526414532649,2.24,-75.18261642664982
0.0013196296292373455,-0.005160003782836641,2.2800000000000002,-75.65453804414811
0.0013324036724351254,-0.005792673755660029,2.32,-77.04640214922583
0.0014331766798842797,-0.0063451511239640225,2.36,-77.27220232925193
0.001509466104537689,-0.006517245872600783,2.4,-76.95959816504417
0.0015857555291910984,-0.0066893406212375425,2.44,-76.66380658517554
0.001618045471718821,-0.006901531672134003,2.48,-76.80546252861853
